USA	10420	434927	14788
USA	20420	148220	14792
USA	30420	139422	17669
USA	40420	113296	2349
USA	50420	112950	10869
USA	60420	81802	3333
USA	70420	64586	3993
USA	80420	60733	7097
USA	90420	38226	812
USA	100420	23403	2240
USA	110420	23280	895
USA	120420	20549	2248
USA	130420	19438	427
USA	140420	16188	820
USA	150420	13141	380
USA	160420	12942	273
USA	170420	10384	200
USA	180420	9404	73
USA	190420	8672	63
USA	200420	8419	687
USA	210420	6074	235
USA	220420	6052	50
USA	230420	6042	101
USA	240420	5916	178
USA	250420	5546	48
USA	260420	5402	218
USA	270420	5312	99
USA	280420	5205	159
USA	290420	4761	220
USA	300420	4667	94
USA	10520	4450	242
Peru	20520	4342	121
Pakistan 010520 4263	61
Pakistan 020520 5108 	901


